INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
329, 258, 58
321, 1130, 0
300, 342, 43
407, 587, 85
344, 616, 43
421, 221, 105
386, 856, 63
491, 1816, 42
229, 327, 0
1130, 3541, 5
1292, 3660, 43
535, 1027, 37
615, 1505, 39
318, 339, 52
725, 3237, 0
650, 415, 59
679, 1271, 71
879, 2766, 86
476, 1161, 30
523, 379, 58
269, 447, 5
369, 320, 29
314, 677, 0
736, 1801, 116
823, 2381, 59
752, 1508, 87
380, 1183, 31
614, 2339, 90
328, 327, 66
596, 951, 106
441, 617, 70
379, 857, 32
724, 749, 109
642, 1015, 66
547, 1457, 69
433, 481, 19
498, 913, 68
441, 807, 78
372, 747, 32
890, 3274, 54
646, 417, 73
569, 2651, 0
707, 353, 68
249, 430, 11
495, 581, 46
282, 545, 36
656, 2235, 49
373, 531, 45
394, 1028, 34
726, 2261, 34
395, 1227, 31
812, 2104, 41
794, 1837, 70
524, 500, 87
551, 920, 82
889, 3985, 47
891, 153, 97
393, 463, 42
494, 282, 67
337, 279, 36
507, 808, 62
497, 219, 16
432, 604, 104
1225, 1758, 120
323, 388, 89
401, 856, 59
246, 438, 9
514, 1349, 79
960, 2053, 60
896, 2078, 109
