INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:32b-instruct-qptq-int8', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1431, 2600, 74
1966, 2976, 108
2239, 1870, 96
1378, 387, 67
2166, 2206, 83
732, 1089, 37
899, 189, 108
1316, 1745, 97
1386, 2601, 45
1197, 501, 69
1061, 999, 33
1551, 2029, 60
714, 230, 49
591, 498, 45
1490, 2087, 7
1308, 1785, 104
830, 468, 33
1420, 2076, 81
1529, 207, 44
1962, 3895, 26
859, 693, 50
1299, 1815, 38
2566, 3293, 88
1370, 1625, 56
1408, 863, 47
903, 1824, 36
566, 624, 36
2593, 249, 193
378, 466, 9
825, 183, 43
2643, 1724, 96
1056, 2013, 16
2067, 2217, 38
1657, 2994, 66
1422, 1129, 45
1894, 2688, 90
497, 449, 42
691, 134, 32
1176, 273, 100
1168, 1280, 126
904, 1012, 46
601, 427, 25
1359, 911, 134
1377, 380, 109
1399, 261, 81
1178, 2142, 66
1076, 577, 26
1330, 1913, 58
1049, 2181, 34
1493, 1015, 54
952, 199, 83
921, 736, 44
1007, 2471, 0
1448, 782, 26
877, 1668, 29
1191, 707, 30
1059, 752, 37
1424, 2206, 58
1894, 3596, 33
1749, 782, 34
1408, 2519, 37
1480, 419, 64
1407, 931, 85
1065, 1436, 96
1079, 1721, 42
1444, 582, 98
1077, 1364, 42
747, 656, 67
339, 266, 0
650, 708, 26
1005, 261, 26
961, 1618, 30
2252, 3940, 2
2574, 2564, 93
740, 268, 58
1316, 467, 99
1417, 444, 45
2703, 3338, 75
765, 287, 72
670, 679, 42
809, 261, 60
953, 2402, 0
2173, 3766, 52
1732, 1468, 80
357, 469, 2
813, 305, 46
1111, 1571, 64
1931, 1932, 36
1674, 2990, 96
765, 588, 22
2409, 2998, 69
1748, 2911, 72
480, 71, 44
486, 279, 41
698, 685, 60
1209, 1305, 71
614, 361, 0
1095, 916, 32
2651, 3855, 47
589, 131, 65
1065, 2617, 0
995, 301, 78
783, 268, 58
439, 435, 20
1302, 272, 22
1635, 2669, 89
880, 266, 42
764, 448, 93
438, 366, 53
1414, 1640, 58
1220, 962, 73
929, 1421, 92
1582, 2113, 37
627, 151, 26
1004, 1919, 53
1853, 2473, 32
1515, 2139, 43
454, 288, 43
1196, 259, 2
1413, 2669, 45
685, 496, 26
675, 106, 62
892, 783, 60
591, 170, 47
601, 184, 34
951, 602, 72
1620, 2878, 26
935, 975, 75
1458, 257, 33
1829, 3690, 88
1554, 586, 116
1468, 2226, 86
602, 229, 52
991, 1642, 43
1886, 1329, 65
638, 134, 5
1235, 2012, 73
885, 758, 64
666, 219, 48
932, 672, 47
1270, 1749, 44
1455, 2584, 44
1607, 729, 109
1094, 80, 74
948, 1665, 47
1797, 3377, 80
1505, 570, 69
1228, 1643, 91
1334, 296, 73
1031, 1273, 37
1190, 436, 101
1034, 605, 52
1235, 1786, 40
979, 520, 40
1072, 1123, 100
832, 165, 70
768, 791, 115
1476, 2107, 58
1394, 1022, 80
945, 1010, 46
1044, 660, 63
1320, 1452, 39
331, 160, 7
1867, 1478, 107
1367, 1955, 61
1399, 757, 67
1431, 555, 24
1738, 3060, 57
1216, 325, 61
1028, 2164, 32
1149, 2320, 39
1349, 691, 31
1191, 398, 57
1350, 1051, 144
734, 401, 48
913, 624, 29
1377, 1293, 21
1079, 1723, 52
800, 352, 39
878, 553, 81
1104, 428, 20
1278, 2237, 42
1944, 2421, 25
1856, 2552, 78
944, 110, 17
2058, 2262, 143
940, 1232, 100
598, 724, 33
812, 1355, 26
1280, 1013, 85
802, 388, 52
990, 258, 84
833, 750, 44
667, 466, 50
939, 923, 72
831, 489, 46
1532, 1828, 51
1647, 1150, 64
875, 889, 41
810, 353, 74
791, 676, 5
946, 932, 60
699, 427, 66
522, 208, 44
1462, 1747, 73
1402, 1344, 62
1292, 2428, 40
965, 386, 93
1053, 1799, 46
1402, 931, 42
1445, 2919, 58
1800, 348, 41
1383, 1020, 101
1180, 2044, 69
1437, 1962, 84
2104, 2007, 151
383, 198, 14
761, 571, 65
2274, 3563, 67
581, 732, 51
3351, 1920, 132
1713, 1083, 51
2069, 3554, 79
1357, 753, 37
1603, 2893, 49
355, 268, 0
623, 153, 60
1008, 930, 42
689, 698, 59
546, 500, 35
1023, 1095, 56
754, 411, 55
595, 632, 54
1809, 536, 85
1055, 540, 72
1308, 1537, 70
1612, 1750, 88
2090, 2078, 120
671, 555, 46
1318, 3112, 35
2663, 316, 133
1017, 1794, 58
1336, 288, 39
746, 1078, 10
1585, 2255, 81
930, 417, 40
784, 1248, 45
783, 566, 24
860, 686, 56
1202, 1387, 60
1478, 601, 85
1079, 1651, 55
1157, 631, 29
992, 1108, 47
1513, 712, 149
2567, 3777, 70
3229, 3859, 103
1457, 1681, 21
1911, 2150, 103
2040, 2795, 62
2439, 2830, 64
1265, 229, 95
2103, 1703, 99
905, 1496, 43
2502, 3210, 22
2626, 3657, 49
571, 408, 46
1021, 946, 56
958, 656, 35
1432, 2440, 46
1100, 1744, 34
1222, 421, 35
592, 250, 27
911, 373, 61
1736, 2400, 70
1067, 1329, 48
1586, 989, 36
1236, 2828, 41
1015, 1377, 2
1285, 2620, 64
2762, 1107, 181
1506, 713, 60
1228, 2532, 44
835, 719, 37
1486, 2140, 40
957, 548, 55
829, 375, 68
1306, 1910, 56
833, 756, 77
771, 877, 32
891, 414, 33
898, 1767, 34
1227, 421, 62
2004, 2254, 45
2148, 2705, 102
1099, 665, 109
1323, 414, 107
1432, 759, 34
1611, 2239, 90
993, 1442, 74
1686, 1559, 126
1271, 1577, 27
1694, 2464, 23
1689, 3363, 39
1765, 535, 72
1402, 773, 48
1872, 3273, 58
651, 166, 33
769, 440, 88
780, 432, 67
1059, 1177, 38
1307, 430, 46
1628, 2060, 120
1994, 1565, 40
2435, 3895, 74
711, 796, 0
1001, 879, 49
436, 193, 5
890, 879, 30
1172, 389, 45
1234, 1719, 62
1394, 2433, 25
1487, 782, 62
1330, 2441, 36
1543, 813, 42
963, 1304, 21
1052, 742, 50
1659, 2950, 56
1775, 1047, 94
911, 90, 53
1058, 1372, 79
602, 544, 43
800, 371, 58
1769, 467, 48
1744, 3974, 55
673, 347, 68
926, 693, 74
1901, 2491, 47
2333, 3001, 74
1412, 2559, 18
1667, 796, 74
1357, 3065, 65
1540, 418, 82
1303, 2706, 54
816, 586, 36
1154, 1412, 38
1020, 1336, 63
1408, 497, 100
965, 561, 35
710, 889, 59
854, 702, 67
859, 596, 46
1760, 2593, 28
1931, 2010, 46
1593, 1951, 73
1706, 1480, 84
643, 339, 71
793, 181, 36
1202, 2019, 48
1282, 2339, 45
1814, 1737, 72
813, 559, 38
2388, 800, 101
839, 1290, 48
1006, 799, 88
1089, 202, 114
2035, 2188, 34
2862, 3169, 129
509, 521, 11
464, 265, 33
1584, 1268, 136
754, 793, 54
732, 801, 31
863, 493, 27
2488, 3844, 13
1149, 2437, 29
4957, 3192, 208
1064, 1322, 68
1213, 647, 41
855, 1524, 48
1214, 809, 30
1492, 1718, 85
756, 778, 55
1451, 3468, 9
1850, 932, 74
1608, 3661, 0
3303, 2815, 66
1682, 2232, 129
529, 550, 32
927, 521, 53
1397, 1095, 2
2097, 3009, 113
654, 418, 73
1070, 1402, 50
798, 429, 57
1038, 481, 40
1409, 1467, 80
1913, 3072, 35
1878, 1932, 67
2194, 3949, 39
2243, 1622, 86
1064, 2786, 0
1561, 529, 59
1913, 2222, 110
1955, 2093, 116
1702, 390, 33
1863, 3658, 71
1999, 1946, 111
1796, 2424, 112
1505, 1613, 58
1462, 1275, 66
839, 304, 70
918, 536, 97
1655, 3363, 2
1789, 1121, 43
1713, 432, 25
1651, 3460, 72
1506, 844, 74
610, 281, 77
2570, 2110, 111
695, 700, 71
1549, 1414, 163
804, 820, 52
914, 254, 72
876, 503, 71
473, 306, 36
700, 309, 13
722, 817, 10
2085, 2092, 25
2392, 3526, 80
1230, 982, 45
1641, 2597, 61
1274, 189, 51
1199, 2337, 69
913, 116, 32
795, 1129, 54
1280, 598, 47
1926, 2777, 121
1036, 290, 34
1045, 1463, 86
1108, 2006, 99
1519, 2476, 30
1165, 637, 77
1685, 3757, 33
2159, 542, 129
552, 365, 49
1321, 2052, 90
1811, 1403, 118
1155, 373, 36
1254, 2048, 54
1586, 1075, 25
1546, 2685, 57
1380, 1730, 42
2387, 1704, 123
1294, 361, 144
485, 209, 40
984, 2431, 0
1322, 201, 95
504, 428, 40
1285, 421, 159
1111, 366, 59
1438, 1900, 90
813, 398, 63
829, 328, 77
1202, 568, 34
1080, 1721, 75
1299, 927, 43
1542, 1792, 114
756, 263, 115
835, 737, 31
706, 310, 82
719, 957, 0
1228, 1284, 42
1143, 375, 53
1560, 2800, 75
1070, 393, 68
1071, 1268, 102
1334, 3164, 0
1147, 1017, 0
898, 382, 41
800, 1115, 25
979, 1606, 52
1423, 525, 71
1094, 921, 76
911, 834, 76
1220, 1184, 41
1141, 1229, 53
610, 146, 68
791, 701, 56
918, 2153, 0
1278, 156, 82
958, 718, 62
1123, 700, 76
2087, 2075, 103
3001, 3048, 108
970, 459, 119
572, 247, 44
1045, 547, 68
766, 184, 54
774, 369, 89
1639, 1341, 31
1698, 2631, 124
1455, 305, 51
1898, 3590, 78
588, 227, 42
773, 408, 58
1197, 2140, 48
1118, 365, 101
612, 784, 28
1481, 483, 87
1622, 1995, 150
1069, 791, 44
1633, 2536, 91
1116, 918, 41
1555, 808, 103
790, 906, 72
1025, 2521, 0
773, 176, 73
1685, 3468, 32
1751, 256, 119
897, 1588, 39
1665, 587, 95
1777, 1894, 15
1461, 2954, 30
775, 726, 46
1196, 360, 126
906, 1383, 64
1079, 424, 18
1010, 1815, 58
1018, 1755, 56
1529, 881, 123
760, 818, 28
1065, 243, 104
712, 325, 38
1097, 992, 78
726, 826, 52
962, 447, 36
997, 1084, 61
1335, 490, 42
