INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=32768, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1009, 1390, 59
4770, 10528, 51
4798, 15303, 85
871, 3740, 45
784, 315, 40
1829, 1340, 38
1997, 9123, 36
674, 578, 50
620, 2066, 80
1804, 786, 31
1990, 9005, 57
1270, 5032, 69
1412, 1041, 179
362, 643, 40
519, 708, 72
409, 904, 31
480, 1328, 37
1980, 2195, 56
2606, 10620, 57
480, 230, 94
636, 1139, 75
698, 651, 44
771, 2358, 81
4022, 500, 73
4236, 18553, 104
657, 1106, 41
688, 1366, 92
990, 3213, 30
843, 1506, 29
1503, 926, 44
1574, 7520, 52
692, 2291, 27
868, 1538, 79
417, 549, 5
377, 721, 31
618, 751, 38
797, 2348, 88
1915, 862, 27
2085, 9534, 61
316, 937, 0
470, 255, 31
527, 510, 47
525, 899, 56
420, 946, 5
369, 322, 36
481, 615, 36
487, 486, 90
448, 125, 56
571, 1105, 65
2048, 358, 91
2134, 9891, 73
622, 440, 57
685, 2072, 65
1165, 5536, 57
1199, 319, 30
708, 1113, 48
857, 1997, 64
579, 983, 75
402, 570, 52
959, 1144, 60
1000, 3365, 69
531, 444, 57
595, 1003, 77
2093, 5802, 51
2126, 6060, 78
1753, 2947, 28
1890, 7466, 61
2579, 3258, 57
2816, 10864, 63
398, 275, 60
596, 798, 101
359, 384, 0
566, 1095, 45
722, 445, 49
656, 2644, 41
5958, 10700, 0
564, 1797, 44
519, 1936, 25
8103, 21288, 180
851, 1088, 66
659, 1922, 116
477, 237, 66
386, 398, 48
910, 3175, 29
1175, 2637, 116
720, 689, 83
537, 1765, 78
554, 820, 71
564, 934, 60
547, 457, 50
579, 1152, 73
425, 205, 56
555, 996, 71
574, 1180, 73
638, 898, 49
1176, 6360, 0
3108, 8932, 63
1660, 2997, 74
612, 465, 43
823, 2133, 79
989, 442, 65
1172, 4702, 68
1109, 3346, 73
1095, 1766, 58
507, 1156, 61
623, 498, 101
523, 735, 44
561, 672, 87
319, 204, 31
1352, 175, 64
1842, 8236, 60
252, 117, 0
1412, 7641, 0
1107, 360, 97
664, 838, 96
454, 1233, 51
571, 767, 46
743, 1544, 72
597, 397, 72
538, 1013, 101
1897, 8640, 103
2123, 527, 143
641, 2402, 13
546, 414, 46
880, 1142, 12
1041, 3716, 92
1698, 118, 5
2071, 9750, 59
946, 1561, 33
1191, 3991, 46
859, 3244, 60
839, 454, 62
8140, 32000, 13
8473, 4514, 150
1401, 5987, 65
1272, 526, 144
397, 641, 42
1588, 1680, 77
2363, 8936, 94
1879, 4246, 94
1879, 5900, 120
464, 1613, 29
1810, 1983, 103
2733, 9120, 143
1333, 4783, 99
1058, 1200, 76
653, 306, 34
664, 2461, 67
1048, 172, 65
1052, 4919, 37
490, 1074, 46
685, 439, 68
1674, 837, 47
1814, 8325, 64
1142, 955, 58
1960, 4801, 103
784, 2635, 103
1104, 2259, 36
1347, 4912, 40
581, 574, 57
615, 1507, 40
276, 464, 16
1659, 639, 45
2325, 10082, 44
397, 621, 31
1343, 4918, 98
814, 1386, 101
1027, 3299, 90
1108, 900, 75
882, 4340, 41
1171, 1080, 95
520, 2386, 0
559, 539, 43
380, 352, 54
637, 1154, 95
1959, 5393, 47
2028, 6048, 66
620, 1558, 21
755, 1788, 66
717, 262, 75
875, 2610, 130
1909, 4195, 35
2000, 7026, 84
368, 1132, 0
656, 1327, 61
1805, 5299, 60
1537, 4659, 85
724, 3049, 22
804, 398, 67
2918, 6282, 32
2906, 10600, 61
353, 321, 11
458, 191, 54
2080, 9303, 80
2197, 1415, 101
623, 412, 52
426, 894, 46
809, 1224, 86
839, 2568, 70
845, 3228, 27
910, 759, 60
650, 1380, 50
753, 1352, 67
812, 744, 44
893, 3183, 86
515, 389, 62
441, 922, 46
747, 906, 62
738, 1668, 91
851, 2287, 63
811, 1478, 60
620, 1517, 53
857, 665, 115
794, 2675, 108
1114, 1372, 151
2670, 9245, 63
2720, 5181, 75
580, 905, 83
874, 850, 79
399, 1373, 20
589, 393, 40
951, 2306, 42
1041, 2529, 44
595, 354, 32
648, 1603, 56
1262, 2244, 74
1488, 4705, 93
364, 623, 32
346, 433, 36
1101, 3062, 58
371, 709, 51
913, 2882, 73
551, 349, 62
1870, 4534, 43
1841, 6448, 44
3775, 14546, 24
3893, 6073, 146
449, 1452, 25
650, 1123, 55
394, 482, 41
667, 254, 71
334, 157, 32
612, 542, 55
976, 1654, 39
1025, 3485, 44
515, 667, 34
509, 391, 69
798, 1034, 46
1056, 2657, 85
501, 758, 62
658, 2241, 79
1429, 5885, 83
1038, 1480, 54
1267, 5987, 31
1283, 569, 78
545, 754, 47
562, 779, 97
622, 1497, 77
787, 1308, 54
554, 872, 91
959, 755, 160
478, 1610, 47
602, 1726, 56
1735, 3042, 50
1519, 7070, 94
396, 558, 35
673, 1200, 62
663, 917, 42
702, 1712, 66
420, 529, 36
493, 531, 66
1326, 3183, 34
1327, 3817, 36
1714, 1619, 73
1931, 7958, 145
3004, 11093, 46
3216, 7289, 48
876, 3276, 46
889, 782, 79
1341, 3055, 49
1398, 4109, 64
1128, 443, 27
1217, 5741, 67
595, 593, 50
489, 1054, 67
989, 1571, 89
1245, 2437, 197
751, 2278, 32
775, 1597, 111
325, 364, 39
564, 1644, 78
1689, 5797, 65
2260, 6879, 73
1894, 4875, 80
1992, 6031, 86
653, 764, 52
935, 1956, 159
227, 252, 0
862, 2166, 74
606, 1821, 94
1166, 4084, 58
1246, 2310, 56
5288, 22651, 43
5340, 3487, 45
484, 729, 44
449, 503, 36
552, 776, 75
568, 268, 80
1211, 5404, 32
1231, 1022, 51
401, 242, 48
456, 457, 59
889, 3108, 49
1128, 708, 107
3335, 13473, 39
3080, 4870, 54
669, 1905, 47
713, 854, 50
821, 399, 36
1039, 3393, 95
4698, 12202, 93
5076, 13803, 123
899, 406, 87
1128, 3462, 119
593, 1260, 65
667, 658, 117
346, 260, 28
417, 447, 40
440, 719, 31
453, 170, 55
573, 1010, 40
575, 1134, 27
860, 2964, 60
840, 800, 62
636, 1923, 47
675, 754, 83
862, 580, 42
1125, 3492, 124
1165, 2369, 28
1036, 4606, 74
470, 419, 46
454, 564, 62
813, 796, 46
1175, 3050, 93
472, 926, 53
781, 1781, 63
524, 1398, 25
769, 398, 122
1143, 6193, 0
302, 534, 23
1751, 2815, 114
948, 1007, 70
1200, 3793, 98
523, 1047, 54
608, 882, 44
2589, 398, 81
2578, 12738, 35
622, 1333, 13
804, 1943, 67
525, 492, 56
374, 483, 27
592, 876, 58
838, 639, 104
976, 4052, 36
750, 369, 38
1301, 313, 33
1442, 6877, 60
488, 490, 35
1719, 1112, 148
1095, 3224, 119
988, 3075, 79
1294, 1984, 168
544, 1947, 45
2200, 11727, 0
1947, 1581, 71
443, 1258, 53
347, 614, 48
323, 172, 54
509, 1907, 34
444, 1026, 55
923, 505, 71
984, 2531, 165
475, 1031, 83
438, 387, 58
482, 2388, 0
694, 1870, 112
6562, 26100, 63
385, 592, 31
7106, 2206, 199
434, 830, 41
747, 1745, 72
430, 1221, 58
610, 371, 2
712, 2601, 45
640, 368, 52
621, 2029, 60
518, 894, 31
456, 498, 45
582, 522, 0
598, 2087, 7
1039, 2600, 74
1022, 2076, 81
720, 207, 44
787, 2976, 108
431, 387, 38
635, 693, 96
703, 1089, 37
593, 1815, 38
4345, 8620, 88
4449, 14231, 77
668, 189, 108
568, 1625, 56
1638, 7680, 81
1790, 249, 145
858, 501, 154
1083, 1724, 104
852, 2217, 38
1520, 4294, 151
1207, 999, 33
1893, 6785, 163
326, 230, 44
1404, 1129, 45
1254, 6418, 58
1536, 134, 32
1608, 8147, 98
1233, 1785, 79
1569, 5326, 131
551, 468, 33
625, 1280, 102
712, 427, 25
1085, 3895, 26
804, 3293, 51
914, 911, 54
1262, 5306, 98
1322, 863, 51
762, 1824, 36
879, 2142, 54
2228, 1913, 58
2876, 10021, 154
428, 624, 36
6983, 466, 9
8600, 32000, 59
353, 183, 43
534, 2181, 34
717, 199, 95
1325, 4932, 113
1226, 2013, 23
1354, 4420, 101
548, 2471, 0
1290, 707, 30
2312, 9054, 78
804, 2994, 0
1022, 2206, 58
684, 782, 34
906, 2688, 90
339, 449, 42
475, 419, 49
1115, 5560, 31
1240, 273, 100
564, 1012, 58
743, 1436, 96
524, 1721, 42
857, 380, 109
569, 1364, 42
433, 261, 81
323, 708, 22
700, 1618, 30
1241, 4543, 84
872, 3940, 5
893, 577, 18
464, 1015, 54
798, 467, 102
605, 736, 44
354, 444, 45
432, 782, 26
554, 287, 72
485, 679, 42
703, 1668, 75
1940, 2402, 37
1978, 8203, 51
392, 752, 37
543, 1468, 23
2151, 3596, 33
2226, 8419, 69
851, 2519, 37
785, 1571, 58
659, 1932, 36
809, 931, 85
325, 588, 0
532, 582, 98
1174, 5141, 76
1505, 2911, 72
2075, 656, 67
2515, 9746, 96
232, 266, 0
1320, 6334, 23
1286, 261, 42
